time,wx (rad/s),wy (rad/s),wz (rad/s)
1.372322,-0.39,0.06,0.12
1.374540,-0.41,0.07,0.09
1.376333,-0.41,0.08,0.07
1.378589,-0.43,0.09,0.04
1.381495,-0.44,0.11,0.01
1.382247,-0.45,0.12,0.00
1.384113,-0.46,0.13,-0.02
1.386473,-0.47,0.16,-0.03
1.388546,-0.48,0.17,-0.04
1.389489,-0.50,0.19,-0.04
1.391979,-0.50,0.20,-0.05
1.394742,-0.52,0.22,-0.04
1.398376,-0.53,0.23,-0.04
1.399132,-0.53,0.24,-0.03
1.400253,-0.55,0.26,-0.03
1.402196,-0.56,0.27,-0.02
1.403970,-0.57,0.27,-0.01
1.406237,-0.58,0.29,0.00
1.408007,-0.59,0.30,0.01
1.410228,-0.60,0.30,0.02
1.413594,-0.61,0.31,0.04
1.414286,-0.62,0.32,0.04
1.416313,-0.62,0.32,0.05
1.418262,-0.63,0.33,0.06
1.420492,-0.64,0.33,0.08
1.422195,-0.65,0.33,0.08
1.424028,-0.66,0.33,0.10
1.426859,-0.68,0.32,0.11
1.428409,-0.68,0.32,0.11
1.433600,-0.69,0.30,0.12
1.434649,-0.70,0.30,0.12
1.435022,-0.70,0.30,0.12
1.438406,-0.71,0.31,0.11
1.438788,-0.71,0.32,0.10
1.440736,-0.71,0.33,0.09
1.442708,-0.71,0.35,0.08
1.444584,-0.71,0.36,0.07
1.448501,-0.71,0.37,0.06
1.449315,-0.70,0.39,0.04
1.449687,-0.69,0.40,0.03
1.452406,-0.69,0.41,0.03
1.454250,-0.68,0.41,0.02
1.456343,-0.67,0.42,0.01
1.457908,-0.66,0.42,0.01
1.459929,-0.65,0.41,0.01
1.463482,-0.63,0.40,0.01
1.464137,-0.63,0.40,0.01
